,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,country_name,admin_division_population,longitude,latitude
451,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,2449.0,-123.8171,44.6677
452,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,1711.0,-118.0283,45.6611
453,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,1855.0,-122.1622,44.7362
454,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,4935.0,-123.9488,45.4385
455,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,4561.0,-123.5777,44.1579
456,5km,landslide,rain,medium,other,,,India,100485.0,73.8277,15.4014
457,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,1286.0,-123.8923,45.5599
458,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,2033.0,-123.7092,44.3695
460,5km,landslide,rain,medium,other,1.0,,United Kingdom,24803.0,-3.5875,54.5494
461,10km,landslide,rain,medium,other,2.0,,Brazil,11555.0,-42.6734,-22.0452
462,25km,landslide,rain,large,other,7.0,,Brazil,153361.0,-42.53636205,-22.28234635
463,50km,landslide,downpour,medium,other,,,Nepal,0.0,81.3333,29.0833
464,1km,landslide,downpour,medium,other,0.0,,United States,11129.0,-82.6276,38.6198
465,50km,landslide,downpour,medium,other,,,Canada,8715.0,-117.6582,49.3265
466,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,4154.0,-123.9669,43.6878
467,5km,landslide,downpour,medium,other,0.0,,Philippines,48638.0,123.97,10.37
468,1km,landslide,downpour,small,other,0.0,,United States,1064.0,-79.8375,40.6573
469,25km,landslide,flooding,unknown,above_road,0.0,0.0,Philippines,32739.0,121.6979,14.2282
470,10km,landslide,rain,small,other,0.0,0.0,Canada,8715.0,-117.6744,49.3729
471,10km,landslide,downpour,unknown,below_road,0.0,0.0,Philippines,4945.0,120.8221,18.5875
472,5km,landslide,tropical_cyclone,medium,other,0.0,0.0,Philippines,2920.0,125.0725,11.5515
473,10km,landslide,tropical_cyclone,medium,other,0.0,0.0,Philippines,14756.0,124.7212,8.4406
476,25km,landslide,downpour,large,other,32.0,,Pakistan,1218773.0,71.5447,34.0051
477,25km,landslide,rain,large,other,,,Brazil,153361.0,-42.5329,-22.2815
478,5km,landslide,unknown,medium,above_road,0.0,0.0,Nepal,31495.0,86.5598,26.9597
479,5km,landslide,rain,very_large,other,15.0,,Indonesia,451893.0,124.868,1.4808
480,1km,landslide,unknown,unknown,other,0.0,0.0,United States,198397.0,-122.4292,47.3174
481,1km,landslide,downpour,small,other,0.0,0.0,United Kingdom,0.0,-1.55,50.6723
482,10km,landslide,downpour,medium,other,0.0,,Peru,0.0,-71.4216,-12.9655
483,1km,mudslide,downpour,medium,other,0.0,,United States,3652.0,-117.6865,47.8907
484,1km,mudslide,downpour,medium,other,16.0,,Brazil,11169.0,-40.9044,-12.3546
485,25km,landslide,unknown,medium,other,0.0,5.0,Nepal,2860.0,83.7508,28.5873
486,1km,landslide,downpour,medium,other,0.0,,Italy,9205.0,16.6525,40.5452
487,25km,mudslide,downpour,medium,other,7.0,,Peru,6044.0,-70.4,-14.0
488,exact,mudslide,continuous_rain,small,other,0.0,0.0,United States,285068.0,-93.0553,44.9459
489,50km,landslide,downpour,medium,other,4.0,,Indonesia,800000.0,106.7732,-6.584
490,1km,landslide,downpour,small,other,0.0,,United States,1609.0,-122.3101,48.0079
491,5km,complex,rain,small,other,0.0,,United States,29603.0,-116.8721,33.9062
492,exact,mudslide,downpour,medium,other,0.0,,Japan,443322.0,132.7681,33.8426
493,50km,landslide,rain,medium,other,,,Philippines,0.0,125.4498,7.8098
494,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,583776.0,-122.7002,45.5154
495,exact,landslide,downpour,medium,other,0.0,,Brazil,272691.0,-43.2212,-22.5232
496,10km,landslide,unknown,medium,mine,3.0,1.0,Vietnam,0.0,105.146,19.3465
497,5km,complex,rain,small,other,0.0,,United Kingdom,0.0,-3.8666,52.6901
498,5km,mudslide,rain,medium,other,3.0,,Bangladesh,37985.0,89.4,22.5333
499,25km,landslide,rain,medium,other,,,United States,7167.0,-121.6406,45.7153
501,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,4864.0,-122.0692,45.108000000000004
502,25km,landslide,continuous_rain,medium,other,0.0,,India,6758.0,80.1327,29.4085
503,5km,mudslide,downpour,small,other,,,United States,10917.0,-118.0459,34.1742
504,1km,landslide,rain,small,other,,,United States,16000.0,-77.2682,38.6009
505,1km,rock_fall,mining,medium,other,5.0,,China,91136.0,107.9326,26.6579
506,25km,landslide,downpour,medium,other,0.0,,Pakistan,2100.0,75.6355,35.3585
507,5km,landslide,rain,medium,above_road,,,Nepal,21867.0,84.06527738,27.99134853
508,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,1251.0,-117.262,45.976000000000006
509,5km,landslide,rain,medium,other,,,United Kingdom,0.0,-2.9339,51.3255
510,5km,mudslide,downpour,small,above_road,0.0,0.0,United States,6871.0,-120.4218,38.7987
511,50km,landslide,downpour,medium,other,0.0,,Vietnam,0.0,108.7431,14.8315
512,1km,landslide,unknown,small,natural_slope,1.0,2.0,Nepal,27602.0,85.5641,27.5269
513,1km,mudslide,no_apparent_trigger,small,urban,0.0,0.0,United Kingdom,1726.0,-3.3002,53.3297
514,exact,landslide,unknown,unknown,above_road,0.0,0.0,United States,2344.0,-122.8697,45.9816
515,5km,landslide,tropical_cyclone,large,other,23.0,1.0,Philippines,4172.0,123.304,8.4987
516,25km,landslide,rain,very_large,other,,,Switzerland,2192.0,6.852,46.7191
